_time,_value,_field,srsue_data_id
2025-01-29T20:30:51.331955367Z,20.63,sinr,ue1_uhd
2025-01-29T20:30:51.812729367Z,20.57,sinr,ue1_uhd
2025-01-29T20:30:52.293052367Z,20.62,sinr,ue1_uhd
2025-01-29T20:30:52.772758367Z,20.5,sinr,ue1_uhd
2025-01-29T20:30:53.252784367Z,20.64,sinr,ue1_uhd
2025-01-29T20:30:53.733085367Z,20.52,sinr,ue1_uhd
2025-01-29T20:30:54.213771367Z,20.45,sinr,ue1_uhd
2025-01-29T20:30:54.693338367Z,20.5,sinr,ue1_uhd
2025-01-29T20:30:55.173787367Z,20.45,sinr,ue1_uhd
2025-01-29T20:30:55.653959367Z,20.52,sinr,ue1_uhd
2025-01-29T20:30:56.134402367Z,20.71,sinr,ue1_uhd
2025-01-29T20:30:56.614193367Z,20.58,sinr,ue1_uhd
2025-01-29T20:30:57.094853367Z,20.62,sinr,ue1_uhd
2025-01-29T20:30:57.575346367Z,20.74,sinr,ue1_uhd
2025-01-29T20:30:58.054909367Z,20.62,sinr,ue1_uhd
2025-01-29T20:30:58.534513367Z,20.54,sinr,ue1_uhd
2025-01-29T20:30:59.014358367Z,20.43,sinr,ue1_uhd
2025-01-29T20:30:59.494608367Z,20.42,sinr,ue1_uhd
2025-01-29T20:30:59.975077367Z,20.53,sinr,ue1_uhd
2025-01-29T20:31:00.454869367Z,20.44,sinr,ue1_uhd
2025-01-29T20:31:00.934426367Z,20.36,sinr,ue1_uhd
2025-01-29T20:31:01.413810367Z,20.37,sinr,ue1_uhd
2025-01-29T20:31:01.894380367Z,20.3,sinr,ue1_uhd
2025-01-29T20:31:02.374630367Z,20.33,sinr,ue1_uhd
2025-01-29T20:31:02.854442367Z,20.31,sinr,ue1_uhd
2025-01-29T20:31:03.335150367Z,20.3,sinr,ue1_uhd
2025-01-29T20:31:03.816092367Z,20.43,sinr,ue1_uhd
2025-01-29T20:31:04.296473367Z,20.4,sinr,ue1_uhd
2025-01-29T20:31:04.776872367Z,20.5,sinr,ue1_uhd
2025-01-29T20:31:05.257481367Z,20.32,sinr,ue1_uhd
2025-01-29T20:31:05.745322367Z,20.35,sinr,ue1_uhd
2025-01-29T20:31:06.225524367Z,20.38,sinr,ue1_uhd
2025-01-29T20:31:06.705996367Z,20.5,sinr,ue1_uhd
2025-01-29T20:31:07.185938367Z,20.41,sinr,ue1_uhd
2025-01-29T20:31:07.665517367Z,20.38,sinr,ue1_uhd
2025-01-29T20:31:08.145106367Z,20.51,sinr,ue1_uhd
2025-01-29T20:31:08.625073367Z,20.43,sinr,ue1_uhd
2025-01-29T20:31:09.104570367Z,20.47,sinr,ue1_uhd
2025-01-29T20:31:09.583400367Z,20.35,sinr,ue1_uhd
2025-01-29T20:31:10.062464367Z,20.4,sinr,ue1_uhd
2025-01-29T20:31:10.541335367Z,20.46,sinr,ue1_uhd
2025-01-29T20:31:11.019927367Z,20.49,sinr,ue1_uhd
2025-01-29T20:31:11.498677367Z,20.48,sinr,ue1_uhd
2025-01-29T20:31:11.978039367Z,20.48,sinr,ue1_uhd
2025-01-29T20:31:12.457909367Z,20.48,sinr,ue1_uhd
2025-01-29T20:31:12.937666367Z,20.34,sinr,ue1_uhd
2025-01-29T20:31:13.416773367Z,20.53,sinr,ue1_uhd
